LAST SEEN   TYPE      REASON                    OBJECT                                   MESSAGE
8m7s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-d9bz6           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-d9bz6           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Normal    Scheduled                 pod/millo-api-6c8f6c4f7d-kvzkb           Successfully assigned millo/millo-api-6c8f6c4f7d-kvzkb to vmi2435915
8m6s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-5zctp           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m7s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-5zctp           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
7m53s       Normal    Scheduled                 pod/millo-api-7fbbfb8896-5bgsj           Successfully assigned millo/millo-api-7fbbfb8896-5bgsj to vmi2435915
29m         Warning   FailedScheduling          pod/millo-api-6c8f6c4f7d-rqjpf           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
8m6s        Warning   FailedScheduling          pod/millo-api-7fbbfb8896-5bgsj           0/1 nodes are available: 1 Insufficient memory. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
56m         Normal    Started                   pod/millo-api-6c8f6c4f7d-tgllp           Container started
56m         Normal    Started                   pod/janus-7cbc665fcc-98prc               Container started
56m         Normal    Started                   pod/millo-api-7fbbfb8896-hg9rf           Container started
56m         Normal    Started                   pod/millo-api-7fbbfb8896-spw7s           Container started
56m         Normal    Started                   pod/millo-nginx-rtmp-6f7bf6cc47-56n5l    Container started
56m         Normal    Started                   pod/millo-workers-54ff4d94cc-hl7mh       Container started
56m         Normal    Started                   pod/millo-api-7fbbfb8896-bsjhs           Container started
56m         Normal    Started                   pod/millo-api-6c8f6c4f7d-bm84f           Container started
51m         Normal    Created                   pod/janus-7cbc665fcc-98prc               Container created
51m         Normal    Created                   pod/millo-api-6c8f6c4f7d-tgllp           Container created
51m         Normal    Created                   pod/millo-api-7fbbfb8896-hg9rf           Container created
51m         Normal    Created                   pod/millo-api-7fbbfb8896-bsjhs           Container created
51m         Normal    Created                   pod/millo-nginx-rtmp-6f7bf6cc47-56n5l    Container created
51m         Normal    Created                   pod/millo-api-7fbbfb8896-spw7s           Container created
